Manufacturer,Model&Make,Mark,Prediction
Canon,EOS 1000D,NA,Canon-EOS-1000D.csv
Canon,EOS 100D,NA,Canon-EOS-100D.csv
Canon,EOS 10D,NA,Canon-EOS-10D.csv
Canon,EOS 1100D,NA,Canon-EOS-1100D.csv
Canon,EOS 1200D,NA,Canon-EOS-1200D.csv
Canon,EOS 1300D,NA,Canon-EOS-1300D.csv
Canon,EOS 1500D,NA,Canon-EOS-1500D.csv
Canon,EOS 200D,NA,Canon-EOS-200D.csv
Canon,EOS 20D,NA,Canon-EOS-20D.csv
Canon,EOS 20Da,NA,Canon-EOS-20Da.csv
Canon,EOS 250D,NA,Canon-EOS-250D.csv
Canon,EOS 3000D,NA,Canon-EOS-3000D.csv
Canon,EOS 300D,NA,Canon-EOS-300D.csv
Canon,EOS 30D,NA,Canon-EOS-30D.csv
Canon,EOS 350D,NA,Canon-EOS-350D.csv
Canon,EOS 400D,NA,Canon-EOS-400D.csv
Canon,EOS 40D,NA,Canon-EOS-40D.csv
Canon,EOS 450D,NA,Canon-EOS-450D.csv
Canon,EOS 500D,NA,Canon-EOS-500D.csv
Canon,EOS 50D,NA,Canon-EOS-50D.csv
Canon,EOS 550D,NA,Canon-EOS-550D.csv
Canon,EOS 5D,NA,Canon-EOS-5D.csv
Canon,EOS 5D,II,Canon-EOS-5D-Mark-II.csv
Canon,EOS 5D,III,Canon-EOS-5D-Mark-III.csv
Canon,EOS 5D,IV,Canon-EOS-5D-Mark-IV.csv
Canon,EOS 5DS,NA,Canon-EOS-5DS.csv
Canon,EOS 5DS R,NA,Canon-EOS-5DS-R.csv
Canon,EOS 600D,NA,Canon-EOS-600D.csv
Canon,EOS 60D,NA,Canon-EOS-60D.csv
Canon,EOS 60Da,NA,Canon-EOS-60Da.csv
Canon,EOS 650D,NA,Canon-EOS-650D.csv
Canon,EOS 6D,NA,Canon-EOS-6D.csv
Canon,EOS 6D,II,Canon-EOS-6D-Mark-II.csv
Canon,EOS 700D,NA,Canon-EOS-700D.csv
Canon,EOS 70D,NA,Canon-EOS-70D.csv
Canon,EOS 750D,NA,Canon-EOS-750D.csv
Canon,EOS 760D,NA,Canon-EOS-760D.csv
Canon,EOS 77D,NA,Canon-EOS-77D.csv
Canon,EOS 7D,NA,Canon-EOS-7D.csv
Canon,EOS 7D,II,Canon-EOS-7D-Mark-II.csv
Canon,EOS 800D,NA,Canon-EOS-800D.csv
Canon,EOS 80D,NA,Canon-EOS-80D.csv
Canon,EOS 850D,NA,Canon-EOS-850D.csv
Canon,EOS 90D,NA,Canon-EOS-90D.csv
Canon,EOS D30,NA,Canon-EOS-D30.csv
Canon,EOS D60,NA,Canon-EOS-D60.csv
Canon,EOS M,NA,Canon-EOS-M.csv
Canon,EOS M10,NA,Canon-EOS-M10.csv
Canon,EOS M100,NA,Canon-EOS-M100.csv
Canon,EOS M2,NA,Canon-EOS-M2.csv
Canon,EOS M200,NA,Canon-EOS-M200.csv
Canon,EOS M3,NA,Canon-EOS-M3.csv
Canon,EOS M5,NA,Canon-EOS-M5.csv
Canon,EOS M50,NA,Canon-EOS-M50.csv
Canon,EOS M50,II,Canon-EOS-M50-Mark-II.csv
Canon,EOS M6,NA,Canon-EOS-M6.csv
Canon,EOS M6,II,Canon-EOS-M6-Mark-II.csv
Canon,EOS R,NA,Canon-EOS-R.csv
Canon,EOS R10,NA,Canon-EOS-R10.csv
Canon,EOS R3,NA,Canon-EOS-R3.csv
Canon,EOS R5,NA,Canon-EOS-R5.csv
Canon,EOS R5 C,NA,Canon-EOS-R5-C.csv
Canon,EOS R6,NA,Canon-EOS-R6.csv
Canon,EOS R6,II,Canon-EOS-R6-Mark-II.csv
Canon,EOS R7,NA,Canon-EOS-R7.csv
Canon,EOS RP,NA,Canon-EOS-RP.csv
Canon,EOS Ra,NA,Canon-EOS-Ra.csv
Canon,EOS-1D,NA,Canon-EOS-1D.csv
Canon,EOS-1D C,NA,Canon-EOS-1D-C.csv
Canon,EOS-1D,II,Canon-EOS-1D-Mark-II.csv
Canon,EOS-1D,II N,Canon-EOS-1D-Mark-II-N.csv
Canon,EOS-1D,III,Canon-EOS-1D-Mark-III.csv
Canon,EOS-1D,IV,Canon-EOS-1D-Mark-IV.csv
Canon,EOS-1D X,NA,Canon-EOS-1D-X.csv
Canon,EOS-1D X,II,Canon-EOS-1D-X-Mark-II.csv
Canon,EOS-1D X,III,Canon-EOS-1D-X-Mark-III.csv
Canon,EOS-1Ds,NA,Canon-EOS-1Ds.csv
Canon,EOS-1Ds,II,Canon-EOS-1Ds-Mark-II.csv
Canon,EOS-1Ds,III,Canon-EOS-1Ds-Mark-III.csv
Canon,PowerShot G1 X,NA,Canon-PowerShot-G1-X.csv
Canon,PowerShot G1 X,II,Canon-PowerShot-G1-X-Mark-II.csv
Canon,PowerShot G1 X,III,Canon-PowerShot-G1-X-Mark-III.csv
Canon,PowerShot G10,NA,Canon-PowerShot-G10.csv
Canon,PowerShot G11,NA,Canon-PowerShot-G11.csv
Canon,PowerShot G12,NA,Canon-PowerShot-G12.csv
Canon,PowerShot G15,NA,Canon-PowerShot-G15.csv
Canon,PowerShot G16,NA,Canon-PowerShot-G16.csv
Canon,PowerShot G2,NA,Canon-PowerShot-G2.csv
Canon,PowerShot G3,NA,Canon-PowerShot-G3.csv
Canon,PowerShot G3 X,NA,Canon-PowerShot-G3-X.csv
Canon,PowerShot G5,NA,Canon-PowerShot-G5.csv
Canon,PowerShot G5 X,NA,Canon-PowerShot-G5-X.csv
Canon,PowerShot G5 X,II,Canon-PowerShot-G5-X-Mark-II.csv
Canon,PowerShot G6,NA,Canon-PowerShot-G6.csv
Canon,PowerShot G7 X,NA,Canon-PowerShot-G7-X.csv
Canon,PowerShot G7 X,II,Canon-PowerShot-G7-X-Mark-II.csv
Canon,PowerShot G7 X,III,Canon-PowerShot-G7-X-Mark-III.csv
Canon,PowerShot G9,NA,Canon-PowerShot-G9.csv
Canon,PowerShot G9 X,NA,Canon-PowerShot-G9-X.csv
Canon,PowerShot G9 X Mark II,II,Canon-PowerShot-G9-X-Mark-II.csv
Canon,PowerShot Pro1,NA,Canon-PowerShot-Pro1.csv
Canon,PowerShot S100,NA,Canon-PowerShot-S100.csv
Canon,PowerShot S110,NA,Canon-PowerShot-S110.csv
Canon,PowerShot S120,NA,Canon-PowerShot-S120.csv
Canon,PowerShot S30,NA,Canon-PowerShot-S30.csv
Canon,PowerShot S40,NA,Canon-PowerShot-S40.csv
Canon,PowerShot S45,NA,Canon-PowerShot-S45.csv
Canon,PowerShot S50,NA,Canon-PowerShot-S50.csv
Canon,PowerShot S60,NA,Canon-PowerShot-S60.csv
Canon,PowerShot S70,NA,Canon-PowerShot-S70.csv
Canon,PowerShot S90,NA,Canon-PowerShot-S90.csv
Canon,PowerShot S95,NA,Canon-PowerShot-S95.csv
Canon,PowerShot SX1 IS,NA,Canon-PowerShot-SX1-IS.csv
Canon,PowerShot SX50 HS,NA,Canon-PowerShot-SX50-HS.csv
Canon,PowerShot SX60 HS,NA,Canon-PowerShot-SX60-HS.csv
Canon,PowerShot SX70 HS,NA,Canon-PowerShot-SX70-HS.csv
Epson,R-D1,NA,Epson-R-D1.csv
Epson,R-D1s,NA,Epson-R-D1s.csv
Epson,R-D1x,NA,Epson-R-D1x.csv
Fujifilm,X100T,NA,FUJIFILM-X100T.csv
Fujifilm,FinePix E550,NA,Fujifilm-FinePix-E550.csv
Fujifilm,FinePix E900,NA,Fujifilm-FinePix-E900.csv
Fujifilm,FinePix F550EXR,NA,Fujifilm-FinePix-F550EXR.csv
Fujifilm,FinePix F600EXR,NA,Fujifilm-FinePix-F600EXR.csv
Fujifilm,FinePix F700,NA,Fujifilm-FinePix-F700.csv
Fujifilm,FinePix F710,NA,Fujifilm-FinePix-F710.csv
Fujifilm,FinePix F770EXR,NA,Fujifilm-FinePix-F770EXR.csv
Fujifilm,FinePix F800EXR,NA,Fujifilm-FinePix-F800EXR.csv
Fujifilm,FinePix F810,NA,Fujifilm-FinePix-F810.csv
